"Seq"	"sampleID"	"sampleID_ss"	"sampleID_ss_mean"	"sampleID_nonss_mean"	"Cruise"	"Station"	"yyyy.mm.ddThh.mm.ss.sss"	"Date_mm.dd.yy"	"Latitude_degrees_north"	"Longitude_degrees_east"	"Bot_Depth_m"	"DEPTH_M"	"depthbin"	"Pressure"	"CTD.S"	"CTD.T"	"Potemp090C"	"CTD.O2"	"Oxsatperc"	"CTD.fluo"	"Turbidity"	"sigma"	"percChl_a_10"	"Chl_a"	"Chl_a_AVG"	"Chl_a_10um"	"Chla10_AVG"	"Phaeop_AVG"	"Phaeop_SD"	"TOC_uM"	"TOC_ug"	"TN_uM"	"TON_uM"	"TON_ug"	"TOC.TON"	"NH4_uM"	"NO2_uM"	"NO3.NO2_uM"	"Total_inorgN_uM"	"PO4_uM"	"SiOH4_uM"	"POC_ug"	"sd_POC_ug"	"POC_uM"	"PON_ug"	"sd_PON_ug"	"PON_uM"	"POC.PON"	"DOC_uM"	"DOC_ug"	"DON_uM"	"DON_ug"	"DON.TN"	"DOC.DON"	"BP_ug"	"sd_BP"	"BR"	"BCD"	"Picophytoeukaryotes"	"Nanophytoplankton"	"Large_Nanphyto"	"Small_Nanophyto"	"Synechococcus"	"Phaeocystis"	"Cryptophytes"	"Dead_phyto"	"Bacteria"	"HNA_bacteria"	"Small_virus"	"Medium_virus"	"Large_virus"	"Total_virus"	"HNA.LNA_bacteria"	"smallVirus.Bacteria"	"HNF"	"Large_HNF"	"HNA_Bac_from_HNF_plot"	"LysoTrack_HNF"	"Humic_Fl_A_RU"	"Humic_FL_C_RU"	"Humic_Fl_M_RU"	"Aminoacid_Fl_T_RU"	"Fluorescence_Index"	"a255_m.1"	"a300_m.1"	"a351_m.1"	"a375_m.1"	"S300.650nm__um.1"	"R2_of_slope_fit_300.650"	"S275.295nm__um.1"	"S300.450nm__um.1"	"sampleID2"	"sf0.4-3"	"sf3-10"	"sf10-50"	"sf50-200"	"sf3-180"
"1"	1	"MP1_Test_st/Exp.profile_100m"	"MP1_Test_st/Exp.profile_100m_ss"	"MP1_Test_st/Exp.profile_100m_ss_mean"	"MP1_Test_st/Exp.profile_100m_nonss_mean"	"MP1"	"Test_st/Exp.profile"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"100"	"epi"	102.764	34.9872	2.056	2.0504	6.03973	7.62662	0.038873	0.128	NA	NA	NA	NA	NA	NA	NA	NA	61	732	18.1	8.4	117.3	7.3	NA	NA	9.721	9.721	0.7981	2.741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132	6	NA	NA	106	NA	NA	NA	526000	76000	1.4e+07	1020000	489000	15600000	0.17	26.68	136.421	37.547	2494.368	NA	NA	NA	NA	NA	NA	1.218693	0.366583	0.136283	0.104041	17.071877	0.993636	31.562282	13.545169	"MP1_Test_st/Exp.profile_100"	"MP1_Test_st/Exp.profile_100_0.4.3"	"MP1_Test_st/Exp.profile_100_3.10"	"MP1_Test_st/Exp.profile_100_10.50"	"MP1_Test_st/Exp.profile_100_50.200"	"MP1_Test_st/Exp.profile_100_3.180"
"2"	2	"MP1_Test_st/Exp.profile_50m"	"MP1_Test_st/Exp.profile_50m_ss"	"MP1_Test_st/Exp.profile_50m_ss_mean"	"MP1_Test_st/Exp.profile_50m_nonss_mean"	"MP1"	"Test_st/Exp.profile"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"50"	"epi"	50.528	34.9874	2.028	2.0253	6.03793	7.63206	0.038873	0.131	NA	NA	NA	NA	NA	NA	NA	NA	51.6	619.2	17.3	6.8	95	7.6	NA	NA	10.515	10.515	0.7918	2.898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	108	6	NA	NA	75	NA	NA	NA	647000	95100	13500000	5e+06	1080000	19600000	0.17	20.85	94.188	20.04	2755.511	NA	NA	NA	NA	NA	NA	1.249942	0.384014	0.130684	0.082321	19.992387	0.995811	30.777172	18.259831	"MP1_Test_st/Exp.profile_50"	"MP1_Test_st/Exp.profile_50_0.4.3"	"MP1_Test_st/Exp.profile_50_3.10"	"MP1_Test_st/Exp.profile_50_10.50"	"MP1_Test_st/Exp.profile_50_50.200"	"MP1_Test_st/Exp.profile_50_3.180"
"3"	3	"MP1_Test_st/Exp.profile_40m"	"MP1_Test_st/Exp.profile_40m_ss"	"MP1_Test_st/Exp.profile_40m_ss_mean"	"MP1_Test_st/Exp.profile_40m_nonss_mean"	"MP1"	"Test_st/Exp.profile"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"40"	"epi"	40.335	34.9839	2.0153	2.0132	6.06006	7.63472	0.043358	0.137	NA	NA	NA	NA	NA	NA	NA	NA	54.2	650.4	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106	4	NA	NA	68	NA	NA	NA	824000	119000	23400000	6490000	672000	30500000	0.17	28.37	106.212	34.068	2841.683	NA	NA	NA	NA	NA	NA	1.141204	0.307518	0.088733	0.08643	19.829289	0.971441	33.767318	12.319966	"MP1_Test_st/Exp.profile_40"	"MP1_Test_st/Exp.profile_40_0.4.3"	"MP1_Test_st/Exp.profile_40_3.10"	"MP1_Test_st/Exp.profile_40_10.50"	"MP1_Test_st/Exp.profile_40_50.200"	"MP1_Test_st/Exp.profile_40_3.180"
"4"	4	"MP1_Test_st/Exp.profile_30m"	"MP1_Test_st/Exp.profile_30m_ss"	"MP1_Test_st/Exp.profile_30m_ss_mean"	"MP1_Test_st/Exp.profile_30m_nonss_mean"	"MP1"	"Test_st/Exp.profile"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"30"	"epi"	29.841	34.9846	2.0307	2.0291	6.05079	7.63168	0.038873	0.137	NA	NA	NA	NA	NA	NA	NA	NA	52.8	633.6	17.5	5.7	79.7	9.3	NA	NA	11.806	11.806	0.8374	3.087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	12	NA	NA	56	NA	NA	NA	887000	117000	23800000	6860000	780000	31400000	0.15	26.84	130.261	40.08	2941.884	NA	NA	NA	NA	NA	NA	1.158635	0.329555	0.092346	0.067013	24.903724	0.996502	33.35467	20.177189	"MP1_Test_st/Exp.profile_30"	"MP1_Test_st/Exp.profile_30_0.4.3"	"MP1_Test_st/Exp.profile_30_3.10"	"MP1_Test_st/Exp.profile_30_10.50"	"MP1_Test_st/Exp.profile_30_50.200"	"MP1_Test_st/Exp.profile_30_3.180"
"5"	5	"MP1_Test_st/Exp.profile_5m"	"MP1_Test_st/Exp.profile_5m_ss"	"MP1_Test_st/Exp.profile_5m_ss_mean"	"MP1_Test_st/Exp.profile_5m_nonss_mean"	"MP1"	"Test_st/Exp.profile"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"5"	"epi"	4.651	34.9847	2.0206	2.0203	6.06252	7.63365	0.038125	0.183	NA	NA	NA	NA	NA	NA	NA	NA	53.4	640.8	18	6.7	93.5	8	NA	NA	11.318	11.318	0.6778	3.164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	6	NA	NA	78	NA	NA	NA	850000	114000	22900000	6700000	880000	30400000	0.16	26.87	94.188	12.024	3252.505	NA	NA	NA	NA	NA	NA	1.230841	0.371822	0.13231	0.10928	20.021745	0.98861	30.411495	12.058439	"MP1_Test_st/Exp.profile_5"	"MP1_Test_st/Exp.profile_5_0.4.3"	"MP1_Test_st/Exp.profile_5_3.10"	"MP1_Test_st/Exp.profile_5_10.50"	"MP1_Test_st/Exp.profile_5_50.200"	"MP1_Test_st/Exp.profile_5_3.180"
"6"	6	"MP1_Test_st/Exp.profile_10m"	"MP1_Test_st/Exp.profile_10m_ss"	"MP1_Test_st/Exp.profile_10m_ss_mean"	"MP1_Test_st/Exp.profile_10m_nonss_mean"	"MP1"	"Test_st/Exp.profile"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"10"	"epi"	10.411	34.9847	2.0311	2.0305	6.04867	7.6316	0.040368	0.133	NA	NA	NA	NA	NA	NA	NA	NA	53.4	640.8	17.9	6.3	88.3	8.5	NA	NA	11.59	11.59	0.8072	3.334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	8	NA	NA	86	NA	NA	NA	820000	107000	21600000	7070000	820000	29500000	0.15	26.33	124.248	32.064	2979.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_Test_st/Exp.profile_10"	"MP1_Test_st/Exp.profile_10_0.4.3"	"MP1_Test_st/Exp.profile_10_3.10"	"MP1_Test_st/Exp.profile_10_10.50"	"MP1_Test_st/Exp.profile_10_50.200"	"MP1_Test_st/Exp.profile_10_3.180"
"7"	7	"MP1_Test_st/Exp.profile_20m"	"MP1_Test_st/Exp.profile_20m_ss"	"MP1_Test_st/Exp.profile_20m_ss_mean"	"MP1_Test_st/Exp.profile_20m_nonss_mean"	"MP1"	"Test_st/Exp.profile"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"20"	"epi"	19.979	34.9849	2.0393	2.0383	6.05017	7.62998	0.03962	0.13	NA	NA	NA	NA	NA	NA	NA	NA	49.9	598.8	17	8.7	121.6	5.7	NA	NA	8.314	8.314	0.7218	2.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106	4	NA	NA	78	NA	NA	NA	913000	116000	24200000	7380000	951000	32600000	0.15	26.56	112.224	30.06	2805.611	NA	NA	NA	NA	NA	NA	1.216932	0.369428	0.129916	0.07925	21.391478	0.996234	30.536994	15.948324	"MP1_Test_st/Exp.profile_20"	"MP1_Test_st/Exp.profile_20_0.4.3"	"MP1_Test_st/Exp.profile_20_3.10"	"MP1_Test_st/Exp.profile_20_10.50"	"MP1_Test_st/Exp.profile_20_50.200"	"MP1_Test_st/Exp.profile_20_3.180"
"8"	8	"MP1_Test_st/Exp.profile_1m"	"MP1_Test_st/Exp.profile_1m_ss"	"MP1_Test_st/Exp.profile_1m_ss_mean"	"MP1_Test_st/Exp.profile_1m_nonss_mean"	"MP1"	"Test_st/Exp.profile"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"1"	"epi"	1.961	34.3354	1.9082	1.9081	5.94767	7.68915	0.03663	0.157	NA	NA	NA	NA	NA	NA	NA	NA	41.6	499.2	13.8	1.6	21.9	26.6	NA	NA	12.234	12.234	0.8276	3.287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82	8	NA	NA	72	NA	NA	NA	937000	114000	22600000	7360000	1e+06	30900000	0.14	24.11	108.216	42.084	2839.679	NA	NA	NA	NA	NA	NA	1.37313	0.491081	0.170964	0.111086	21.207204	0.996327	26.294333	15.908275	"MP1_Test_st/Exp.profile_1"	"MP1_Test_st/Exp.profile_1_0.4.3"	"MP1_Test_st/Exp.profile_1_3.10"	"MP1_Test_st/Exp.profile_1_10.50"	"MP1_Test_st/Exp.profile_1_50.200"	"MP1_Test_st/Exp.profile_1_3.180"
"9"	9	"MP1_CTD_nr_2_20m"	"MP1_CTD_nr_2_20m_ss"	"MP1_CTD_nr_2_20m_ss_mean"	"MP1_CTD_nr_2_20m_nonss_mean"	"MP1"	"CTD_nr_2"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"20"	"epi"	19.979	34.9849	2.0393	2.0383	6.05017	7.62998	0.03962	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.3	627.6	14.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.096	0	NA	NA	5	NA	NA	NA	931000	104000	1.6e+07	7440000	1640000	25100000	0.13	17.19	161.616	70.707	5196.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_CTD_nr_2_20"	"MP1_CTD_nr_2_20_0.4.3"	"MP1_CTD_nr_2_20_3.10"	"MP1_CTD_nr_2_20_10.50"	"MP1_CTD_nr_2_20_50.200"	"MP1_CTD_nr_2_20_3.180"
"10"	10	"MP1_CTD_nr_2_10m"	"MP1_CTD_nr_2_10m_ss"	"MP1_CTD_nr_2_10m_ss_mean"	"MP1_CTD_nr_2_10m_nonss_mean"	"MP1"	"CTD_nr_2"	"2014-01-16T22:42:00"	"07.01.14"	80.47766667	15.96066667	370	"10"	"epi"	10.434	34.9849	2.0277	2.0272	6.05466	7.63225	0.041863	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.6	655.2	15.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.08	0	NA	NA	25	NA	NA	NA	885000	87600	19300000	9430000	1950000	30700000	0.11	21.84	101.574	37.196	3961.373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MP1_CTD_nr_2_10"	"MP1_CTD_nr_2_10_0.4.3"	"MP1_CTD_nr_2_10_3.10"	"MP1_CTD_nr_2_10_10.50"	"MP1_CTD_nr_2_10_50.200"	"MP1_CTD_nr_2_10_3.180"
