sampleid	nuclac	cruise	station	strangecode	depth	depthbin
Jan1DNA1	DNA	Jan	Jan1	NA	1	epi
Jan1DNA20	DNA	Jan	Jan1	NA	20	epi
Jan1DNA500	DNA	Jan	Jan1	NA	500	meso
Jan1DNA1000sum	DNA	Jan	Jan1	F1	1000	meso
Jan2DNA1	DNA	Jan	Jan2	NA	1	epi
Jan2DNA20Q	DNA	Jan	Jan2	0Q	20	epi
Jan2DNA500	DNA	Jan	Jan2	NA	500	meso
Jan2DNA1000	DNA	Jan	Jan2	NA	1000	meso
Mar1DNA20	DNA	Mar	Mar1	NA	20	epi
Mar2DNA0	DNA	Mar	Mar2	NA	0	epi
Mar2DNA320sum	DNA	Mar	Mar2	S1	320	meso
Mar2DNA1000	DNA	Mar	Mar2	NA	1000	meso
Mar3DNA0	DNA	Mar	Mar3	NA	0	epi
Mar3DNA20	DNA	Mar	Mar3	NA	20	epi
Mar4DNA0	DNA	Mar	Mar4	NA	0	epi
Mar4DNA20sum	DNA	Mar	Mar4	S2	20	epi
Mar5DNA20	DNA	Mar	Mar5	NA	20	epi
Mar5DNA120	DNA	Mar	Mar5	NA	120	epi
Mar5DNA320	DNA	Mar	Mar5	NA	320	meso
Mar5DNA1000	DNA	Mar	Mar5	NA	1000	meso
Mar6DNA20	DNA	Mar	Mar6	NA	20	epi
Mar6DNA1000	DNA	Mar	Mar6	NA	1000	meso
May1DNA1	DNA	May	May1	NA	1	epi
May1DNA10sum	DNA	May	May1	F1	10	epi
May1DNA447	DNA	May	May1	NA	447	meso
May2DNA1	DNA	May	May2	NA	1	epi
May2DNA15	DNA	May	May2	NA	15	epi
May2DNA451	DNA	May	May2	NA	451	meso
May3DNA1	DNA	May	May3	NA	1	epi
May3DNA20	DNA	May	May3	NA	20	epi
May3DNA500	DNA	May	May3	NA	500	meso
May3DNA1000	DNA	May	May3	NA	1000	meso
Aug1DNA1	DNA	Aug	Aug1	NA	1	epi
Aug1DNA18	DNA	Aug	Aug1	NA	18	epi
Aug1DNA215	DNA	Aug	Aug1	NA	215	meso
Aug2DNA1	DNA	Aug	Aug2	NA	1	epi
Aug2DNA25	DNA	Aug	Aug2	NA	25	epi
Aug2DNA500sum	DNA	Aug	Aug2	F2	500	meso
Aug2DNA1000	DNA	Aug	Aug2	NA	1000	meso
Aug3DNA1	DNA	Aug	Aug3	NA	1	epi
Aug3DNA23	DNA	Aug	Aug3	NA	23	epi
Aug3DNA500	DNA	Aug	Aug3	NA	500	meso
Aug3DNA1000	DNA	Aug	Aug3	NA	1000	meso
Nov1DNA20	DNA	Nov	Nov1	NA	20	epi
Nov2DNA750	DNA	Nov	Nov2	NA	750	meso
Nov3DNA20	DNA	Nov	Nov3	NA	20	epi
Nov3DNA300sum	DNA	Nov	Nov3	F1	300	meso
Nov4DNA5	DNA	Nov	Nov4	NA	5	epi
Nov4DNA20	DNA	Nov	Nov4	NA	20	epi
Nov4DNA500	DNA	Nov	Nov4	NA	500	meso
Nov4DNA1000	DNA	Nov	Nov4	NA	1000	meso
Jan1RNA1Q	RNA	Jan	Jan1	1Q	1	epi
Jan1RNA20	RNA	Jan	Jan1	NA	20	epi
Jan1RNA500	RNA	Jan	Jan1	NA	500	meso
Jan1RNA1000sum	RNA	Jan	Jan1	F2	1000	meso
Jan2RNA1	RNA	Jan	Jan2	NA	1	epi
Jan2RNA20	RNA	Jan	Jan2	NA	20	epi
Jan2RNA500	RNA	Jan	Jan2	NA	500	meso
Jan2RNA1000	RNA	Jan	Jan2	NA	1000	meso
Mar1RNA20	RNA	Mar	Mar1	NA	20	epi
Mar2RNA0	RNA	Mar	Mar2	NA	0	epi
Mar2RNA320sum	RNA	Mar	Mar2	S1	320	meso
Mar2RNA1000	RNA	Mar	Mar2	NA	1000	meso
Mar3RNA0sum	RNA	Mar	Mar3	S1	0	epi
Mar3RNA20	RNA	Mar	Mar3	NA	20	epi
Mar4RNA0	RNA	Mar	Mar4	NA	0	epi
Mar4RNA20sum	RNA	Mar	Mar4	S1	20	epi
Mar5RNA20	RNA	Mar	Mar5	NA	20	epi
Mar5RNA120	RNA	Mar	Mar5	NA	120	epi
Mar5RNA320	RNA	Mar	Mar5	NA	320	meso
Mar5RNA1000sum	RNA	Mar	Mar5	S1	1000	meso
Mar6RNA20	RNA	Mar	Mar6	NA	20	epi
Mar6RNA1000	RNA	Mar	Mar6	NA	1000	meso
May1RNA1	RNA	May	May1	NA	1	epi
May1RNA10sum	RNA	May	May1	F1	10	epi
May1RNA447	RNA	May	May1	NA	447	meso
May2RNA1	RNA	May	May2	NA	1	epi
May2RNA15	RNA	May	May2	NA	15	epi
May2RNA451	RNA	May	May2	NA	451	meso
May3RNA1	RNA	May	May3	NA	1	epi
May3RNA20	RNA	May	May3	NA	20	epi
May3RNA500	RNA	May	May3	NA	500	meso
May3RNA1000	RNA	May	May3	NA	1000	meso
Aug1RNA1	RNA	Aug	Aug1	NA	1	epi
Aug1RNA18	RNA	Aug	Aug1	NA	18	epi
Aug1RNA215	RNA	Aug	Aug1	NA	215	meso
Aug2RNA1	RNA	Aug	Aug2	NA	1	epi
Aug2RNA25	RNA	Aug	Aug2	NA	25	epi
Aug2RNA500sum	RNA	Aug	Aug2	F1	500	meso
Aug2RNA1000	RNA	Aug	Aug2	NA	1000	meso
Aug3RNA1	RNA	Aug	Aug3	NA	1	epi
Aug3RNA23	RNA	Aug	Aug3	NA	23	epi
Aug3RNA500	RNA	Aug	Aug3	NA	500	meso
Aug3RNA1000	RNA	Aug	Aug3	NA	1000	meso
Nov1RNA20	RNA	Nov	Nov1	NA	20	epi
Nov2RNA750	RNA	Nov	Nov2	NA	750	meso
Nov3RNA20	RNA	Nov	Nov3	NA	20	epi
Nov3RNA300sum	RNA	Nov	Nov3	F2	300	meso
Nov4RNA5	RNA	Nov	Nov4	NA	5	epi
Nov4RNA20	RNA	Nov	Nov4	NA	20	epi
Nov4RNA500	RNA	Nov	Nov4	NA	500	meso
Nov4RNA1000sum	RNA	Nov	Nov4	F1	1000	meso
